# Wavelength [nm]	Flux [erg s-1 cm-2 nm-1]
5.33000e+02	8.52851e+07
5.34000e+02	8.77350e+07
5.35000e+02	8.95378e+07
5.36000e+02	9.02774e+07
5.37000e+02	8.66256e+07
5.38000e+02	8.81048e+07
5.39000e+02	8.73652e+07
5.40000e+02	8.38059e+07
5.41000e+02	8.46380e+07
5.42000e+02	8.74115e+07
5.43000e+02	8.62558e+07
5.44000e+02	8.79662e+07
5.45000e+02	8.76426e+07
5.46000e+02	8.82435e+07
5.47000e+02	8.80124e+07
5.48000e+02	8.68568e+07
5.49000e+02	8.70417e+07
5.50000e+02	8.80586e+07
5.51000e+02	8.69492e+07
5.52000e+02	8.75502e+07
5.53000e+02	8.60247e+07
5.54000e+02	8.81048e+07
5.55000e+02	8.83360e+07
5.56000e+02	8.72266e+07
5.57000e+02	8.45918e+07
5.58000e+02	8.40833e+07
5.59000e+02	8.26503e+07
5.60000e+02	8.37597e+07
5.61000e+02	8.49616e+07
5.62000e+02	8.44993e+07
5.63000e+02	8.69954e+07
5.64000e+02	8.47766e+07
5.65000e+02	8.41757e+07
5.66000e+02	8.30663e+07
5.67000e+02	8.48229e+07
5.68000e+02	8.45455e+07
5.69000e+02	8.35286e+07
5.70000e+02	8.33437e+07
5.71000e+02	8.25578e+07
5.72000e+02	8.51927e+07
5.73000e+02	8.62096e+07
5.74000e+02	8.60710e+07
5.75000e+02	8.46842e+07
5.76000e+02	8.38984e+07
5.77000e+02	8.47304e+07
5.78000e+02	8.32050e+07
5.79000e+02	8.31126e+07
5.80000e+02	8.40370e+07
5.81000e+02	8.39908e+07
5.82000e+02	8.51464e+07
5.83000e+02	8.50078e+07
5.84000e+02	8.55162e+07
5.85000e+02	8.32974e+07
5.86000e+02	8.15871e+07
5.87000e+02	8.36672e+07
5.88000e+02	8.28814e+07
5.89000e+02	7.60864e+07
5.90000e+02	7.93221e+07
5.91000e+02	8.23730e+07
5.92000e+02	8.22805e+07
5.93000e+02	8.24654e+07
5.94000e+02	8.23267e+07
5.95000e+02	8.09862e+07
5.96000e+02	8.22343e+07
5.97000e+02	8.16796e+07
5.98000e+02	8.09400e+07
5.99000e+02	8.07088e+07
6.00000e+02	8.02928e+07
6.01000e+02	7.92759e+07
6.02000e+02	7.86750e+07
6.03000e+02	7.98306e+07
6.04000e+02	8.10786e+07
6.05000e+02	8.05702e+07
6.06000e+02	8.00617e+07
6.07000e+02	8.06626e+07
6.08000e+02	7.95994e+07
6.09000e+02	7.95994e+07
6.10000e+02	7.88598e+07
6.11000e+02	7.91834e+07
6.12000e+02	7.88598e+07
6.13000e+02	7.77967e+07
6.14000e+02	7.65948e+07
6.15000e+02	7.81202e+07
6.16000e+02	7.54392e+07
6.17000e+02	7.52081e+07
6.18000e+02	7.80278e+07
6.19000e+02	7.71958e+07
6.20000e+02	7.77042e+07
6.21000e+02	7.79354e+07
6.22000e+02	7.71958e+07
6.23000e+02	7.61788e+07
6.24000e+02	7.47458e+07
6.25000e+02	7.45609e+07
6.26000e+02	7.57166e+07
6.27000e+02	7.69646e+07
6.28000e+02	7.68722e+07
6.29000e+02	7.68722e+07
6.30000e+02	7.52543e+07
6.31000e+02	7.53005e+07
6.32000e+02	7.41449e+07
6.33000e+02	7.57166e+07
6.34000e+02	7.44685e+07
6.35000e+02	7.53930e+07
6.36000e+02	7.40987e+07
6.37000e+02	7.51156e+07
6.38000e+02	7.54854e+07
